name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian University,137,1,1,0,1,1,0,6,4,2,4,2,2,0,0,0,122,92,30,3,2,1,0,0,0,3758,12,5,7,42,15,27,338,158,180,616,234,382,4,3,1,2402,969,1433,185,87,98,10,4,6
Academy of Hair Design-Beaumont,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,0,7,0,7,22,0,22,4,1,3,0,0,0,27,0,27,0,0,0,0,0,0
Academy of Hair Design-Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,0,0,0,0,0,12,2,10,0,0,0,0,0,0,26,6,20,0,0,0,0,0,0
Academy of Hair Design-Lufkin,,,,,,,,,,,,,,,,,,,,,,,,,,82,0,0,0,0,0,0,25,6,19,20,4,16,0,0,0,35,2,33,2,2,0,0,0,0
Advanced Barber College and Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,223,0,0,0,0,0,0,0,0,0,223,142,81,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,0,0,23,0,23,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,2,0,2
Alamo City Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,178,0,0,0,9,9,0,40,33,7,119,98,21,2,2,0,6,6,0,0,0,0,2,2,0
Alamo Community College District Central Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allgood Beauty Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,,,,,,,,,,,,,,,,,,,,,,,,,,486,0,0,0,20,10,10,201,97,104,205,83,122,0,0,0,35,16,19,6,1,5,19,7,12
Alvin Community College,63,0,0,0,1,0,1,1,1,0,2,2,0,0,0,0,59,29,30,0,0,0,0,0,0,5677,36,17,19,340,153,187,753,342,411,1748,751,997,16,13,3,2654,1122,1532,0,0,0,77,38,39
Amarillo College,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,28,0,0,0,0,0,0,10195,56,17,39,287,118,169,499,192,307,4090,1508,2582,6,2,4,4963,1891,3072,179,57,122,115,51,64
Amberton University,,,,,,,,,,,,,,,,,,,,,,,,,,215,0,0,0,26,10,16,60,21,39,21,8,13,1,0,1,99,36,63,0,0,0,8,3,5
American College of Acupuncture and Oriental Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American InterContinental University-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,335,3,1,2,5,3,2,128,58,70,38,12,26,2,2,0,17,10,7,3,0,3,139,61,78
Angelina College,,,,,,,,,,,,,,,,,,,,,,,,,,5061,26,12,14,45,18,27,652,197,455,1154,469,685,1,0,1,3025,1113,1912,154,62,92,2,1,1
Angelo State University,123,2,1,1,6,4,2,5,2,3,8,3,5,0,0,0,102,70,32,0,0,0,0,0,0,8032,34,13,21,104,51,53,528,290,238,2605,1085,1520,8,4,4,4276,1947,2329,228,101,127,6,5,1
Ann Webb Skin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOMA Graduate School of Integrative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlington Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,181,4,0,4,1,0,1,44,27,17,19,14,5,1,1,0,111,59,52,0,0,0,1,0,1
Arlington Career Institute,,,,,,,,,,,,,,,,,,,,,,,,,,239,0,0,0,1,0,1,77,8,69,88,2,86,0,0,0,73,2,71,0,0,0,0,0,0
Astrodome Career Centers,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,0,0,0,0,0,8,1,7,56,3,53,0,0,0,1,1,0,0,0,0,0,0,0
Auguste Escoffier School of Culinary Arts-Austin,,,,,,,,,,,,,,,,,,,,,,,,,,385,2,1,1,2,1,1,29,16,13,82,45,37,1,0,1,89,46,43,48,26,22,132,70,62
Austin College,64,1,1,0,1,0,1,1,0,1,5,2,3,0,0,0,55,41,14,0,0,0,0,0,0,1262,12,10,2,178,70,108,99,55,44,243,116,127,2,0,2,653,327,326,37,18,19,1,1,0
Austin Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,41543,335,168,167,2171,978,1193,3063,1240,1823,14840,6380,8460,82,45,37,18503,8664,9839,1509,757,752,362,166,196
Austin Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,12,5,7,1,1,0,0,0,0,7,5,2,0,0,0,0,0,0
Austin Presbyterian Theological Seminary,12,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,10,7,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Aveda Arts & Sciences Institute-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,187,0,0,0,3,0,3,11,0,11,80,7,73,0,0,0,91,4,87,0,0,0,2,0,2
Avenue Five Institute,,,,,,,,,,,,,,,,,,,,,,,,,,263,1,0,1,3,0,3,14,1,13,42,3,39,0,0,0,111,8,103,28,2,26,64,9,55
Avenue Five Institute-South Austin Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation Institute of Maintenance-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,539,2,2,0,37,36,1,157,147,10,121,114,7,3,3,0,174,166,8,38,33,5,7,6,1
Aviation Institute of Maintenance-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,263,2,2,0,21,20,1,56,50,6,89,82,7,1,1,0,66,62,4,19,17,2,9,9,0
Bakke Graduate University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Beauty School-North Austin,,,,,,,,,,,,,,,,,,,,,,,,,,94,1,0,1,2,2,0,4,0,4,27,2,25,0,0,0,59,2,57,0,0,0,1,0,1
Baldwin Beauty School-South Austin,,,,,,,,,,,,,,,,,,,,,,,,,,67,0,0,0,2,0,2,4,1,3,18,1,17,0,0,0,42,1,41,0,0,0,1,0,1
Baptist Health System School of Health Professions,,,,,,,,,,,,,,,,,,,,,,,,,,643,4,0,4,38,15,23,52,8,44,255,54,201,7,1,6,262,54,208,25,2,23,0,0,0
Baptist Missionary Association Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,83,0,0,0,1,1,0,12,8,4,22,17,5,0,0,0,43,34,9,1,1,0,1,1,0
Baptist University of the Americas,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,4,4,0,3,3,0,153,72,81,0,0,0,13,6,7,0,0,0,0,0,0
Barber Institute of Texas,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0
Baylor College of Medicine,386,0,0,0,66,47,19,12,7,5,20,13,7,0,0,0,237,168,69,4,2,2,47,39,8,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor University,502,1,1,0,28,22,6,11,5,6,17,13,4,1,1,0,428,318,110,10,8,2,0,0,0,14348,50,20,30,860,384,476,943,352,591,2113,835,1278,6,2,4,9166,3878,5288,658,288,370,36,16,20
Bella Cosmetology College,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0,0,0,0,0,0,0,0,10,2,8,1,0,1,47,0,47,0,0,0,0,0,0
BK Cosmo College of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,0,1,0,0,0,1,0,1,11,0,11,0,0,0,17,0,17,0,0,0,2,0,2
Blinn College,,,,,,,,,,,,,,,,,,,,,,,,,,19096,75,39,36,452,249,203,1854,938,916,4024,1866,2158,13,7,6,11648,5629,6019,599,290,309,296,171,125
Brazosport College,56,1,1,0,2,0,2,2,2,0,3,1,2,0,0,0,48,27,21,0,0,0,0,0,0,4315,7,3,4,47,25,22,299,150,149,1687,852,835,0,0,0,2062,1096,966,138,70,68,75,37,38
Brite Divinity School,14,0,0,0,2,1,1,2,0,2,2,2,0,0,0,0,8,5,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Brookhaven College,,,,,,,,,,,,,,,,,,,,,,,,,,12775,59,28,31,1283,663,620,2151,739,1412,5037,2059,2978,12,6,6,3367,1533,1834,214,78,136,592,298,294
Buckner Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,0,0,0,0,0,17,15,2,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0
Careers Institute of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington College-Mesquite,,,,,,,,,,,,,,,,,,,,,,,,,,142,1,1,0,3,1,2,58,11,47,52,1,51,0,0,0,26,0,26,2,0,2,0,0,0
CCI Training Center-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,187,2,0,2,8,5,3,102,40,62,15,7,8,11,0,11,40,26,14,2,1,1,7,5,2
Cedar Valley College,,,,,,,,,,,,,,,,,,,,,,,,,,7124,33,17,16,216,104,112,3256,1151,2105,1836,746,1090,8,3,5,1357,430,927,155,48,107,252,100,152
Center for Advanced Legal Studies,,,,,,,,,,,,,,,,,,,,,,,,,,210,0,0,0,3,0,3,56,8,48,67,6,61,0,0,0,83,11,72,0,0,0,0,0,0
Central Texas Beauty College-Round Rock,,,,,,,,,,,,,,,,,,,,,,,,,,122,0,0,0,5,3,2,23,4,19,39,4,35,2,0,2,43,6,37,10,0,10,0,0,0
Central Texas Beauty College-Temple,,,,,,,,,,,,,,,,,,,,,,,,,,133,2,0,2,4,1,3,18,1,17,30,4,26,1,0,1,45,2,43,10,0,10,23,15,8
Central Texas College,,,,,,,,,,,,,,,,,,,,,,,,,,18117,145,65,80,538,277,261,4857,2407,2450,4099,2062,2037,274,136,138,6777,3630,3147,780,350,430,547,307,240
CET-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,71,0,0,0,0,0,0,7,7,0,59,43,16,0,0,0,3,2,1,2,2,0,0,0,0
Chamberlain University-Texas,,,,,,,,,,,,,,,,,,,,,,,,,,868,0,0,0,134,29,105,306,47,259,158,18,140,6,0,6,185,22,163,6,1,5,69,6,63
Champion Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,0,0,2,0,2,7,0,7,8,1,7,0,0,0,12,0,12,0,0,0,0,0,0
Charles and Sues School of Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,6,0,6,0,0,0,0,0,0
Chicago School of Professional Psychology at Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Mission College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco College,30,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,28,12,16,0,0,0,0,0,0,3244,16,4,12,75,33,42,286,129,157,732,286,446,2,1,1,1996,782,1214,100,30,70,6,2,4
Clarendon College,,,,,,,,,,,,,,,,,,,,,,,,,,1434,15,9,6,9,5,4,91,57,34,312,138,174,1,0,1,853,384,469,5,2,3,133,65,68
Coastal Bend College,,,,,,,,,,,,,,,,,,,,,,,,,,5043,7,2,5,24,16,8,100,44,56,3144,1226,1918,1,0,1,1697,711,986,29,17,12,34,14,20
College of Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,270,0,0,0,32,30,2,153,70,83,6,4,2,0,0,0,67,35,32,0,0,0,6,0,6
College of Biblical Studies-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,445,0,0,0,8,5,3,222,119,103,133,67,66,0,0,0,62,37,25,14,10,4,6,5,1
College of the Mainland,53,2,0,2,3,1,2,4,1,3,4,2,2,0,0,0,40,26,14,0,0,0,0,0,0,3995,11,5,6,119,52,67,630,234,396,1144,492,652,4,2,2,2023,888,1135,0,0,0,46,21,25
Collin County Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,29703,136,61,75,2884,1333,1551,3358,1316,2042,5690,2434,3256,63,31,32,14964,6925,8039,1127,492,635,280,138,142
Commonwealth Institute of Funeral Service,,,,,,,,,,,,,,,,,,,,,,,,,,258,3,0,3,1,1,0,63,19,44,57,16,41,0,0,0,133,49,84,1,1,0,0,0,0
Concorde Career College-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,734,3,0,3,25,9,16,284,38,246,185,17,168,0,0,0,178,19,159,18,0,18,41,5,36
Concorde Career College-Grand Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,811,1,0,1,13,4,9,426,62,364,206,20,186,4,0,4,139,19,120,18,0,18,4,0,4
Concorde Career College-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,622,2,0,2,9,0,9,64,17,47,424,57,367,5,1,4,109,22,87,4,0,4,5,0,5
Concordia University Texas,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,0,0,0,0,0,0,1779,13,5,8,53,16,37,215,78,137,541,194,347,6,4,2,766,280,486,29,11,18,147,61,86
Cortiva Institute-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,282,2,1,1,3,0,3,86,23,63,57,22,35,1,0,1,71,20,51,9,4,5,53,8,45
Cortiva Institute-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,347,3,1,2,9,3,6,111,40,71,85,16,69,0,0,0,97,23,74,6,1,5,36,5,31
Cortiva Institute-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,276,1,1,0,2,1,1,99,33,66,75,24,51,0,0,0,63,24,39,6,0,6,30,11,19
Cosmetology Academy of Texarkana,,,,,,,,,,,,,,,,,,,,,,,,,,66,0,0,0,0,0,0,21,1,20,1,0,1,0,0,0,44,1,43,0,0,0,0,0,0
Cosmetology Career Center LLC,,,,,,,,,,,,,,,,,,,,,,,,,,306,1,0,1,3,0,3,57,2,55,70,4,66,1,0,1,153,10,143,16,1,15,2,0,2
Covenant School of Nursing and Allied Health,,,,,,,,,,,,,,,,,,,,,,,,,,299,1,1,0,7,3,4,16,5,11,77,16,61,0,0,0,176,19,157,10,0,10,12,6,6
Criswell College,,,,,,,,,,,,,,,,,,,,,,,,,,225,1,1,0,4,4,0,36,30,6,29,18,11,0,0,0,128,90,38,0,0,0,25,18,7
Culinary Institute Inc,,,,,,,,,,,,,,,,,,,,,,,,,,396,1,1,0,14,8,6,108,47,61,148,57,91,0,0,0,108,56,52,3,1,2,5,2,3
CyberTex Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,124,0,0,0,1,0,1,48,10,38,26,2,24,1,0,1,30,7,23,0,0,0,0,0,0
Dallas Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,3223,25,9,16,62,28,34,434,161,273,514,208,306,11,5,6,1881,772,1109,0,0,0,0,0,0
Dallas Barber & Stylist College,,,,,,,,,,,,,,,,,,,,,,,,,,130,0,0,0,0,0,0,103,81,22,23,21,2,0,0,0,4,4,0,0,0,0,0,0,0
Dallas Christian College,,,,,,,,,,,,,,,,,,,,,,,,,,248,2,2,0,2,1,1,60,33,27,39,19,20,1,0,1,113,66,47,14,10,4,13,11,2
Dallas County Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Institute of Funeral Service,,,,,,,,,,,,,,,,,,,,,,,,,,95,0,0,0,3,0,3,33,20,13,22,8,14,0,0,0,37,19,18,0,0,0,0,0,0
Dallas Nursing Institute,,,,,,,,,,,,,,,,,,,,,,,,,,244,0,0,0,17,3,14,148,23,125,27,1,26,0,0,0,40,5,35,6,0,6,6,0,6
Dallas Theological Seminary,37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,36,34,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Del Mar College,196,0,0,0,9,7,2,7,1,6,48,20,28,0,0,0,132,78,54,0,0,0,0,0,0,11689,28,13,15,205,86,119,342,172,170,7676,3250,4426,19,10,9,2960,1323,1637,412,185,227,34,12,22
Deluxe Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVry University-Texas,,,,,,,,,,,,,,,,,,,,,,,,,,852,3,1,2,21,12,9,194,119,75,238,154,84,6,6,0,310,233,77,9,6,3,65,42,23
Diamonds Cosmetology College,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,0,1,0,0,0,5,1,4,4,0,4,1,0,1,28,3,25,0,0,0,1,0,1
DuVall's School of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,88,1,0,1,2,0,2,11,0,11,12,0,12,1,0,1,50,1,49,9,1,8,2,0,2
East Texas Baptist University,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1339,3,2,1,3,2,1,276,159,117,120,48,72,5,4,1,868,388,480,47,26,21,6,3,3
Eastfield College,,,,,,,,,,,,,,,,,,,,,,,,,,15029,46,17,29,669,336,333,3253,1049,2204,6916,2780,4136,40,22,18,3269,1405,1864,257,110,147,553,239,314
El Centro College,,,,,,,,,,,,,,,,,,,,,,,,,,10750,53,18,35,632,245,387,2605,772,1833,4891,1636,3255,8,3,5,1889,670,1219,194,70,124,453,175,278
El Paso Community College,220,0,0,0,2,1,1,6,2,4,103,53,50,0,0,0,101,46,55,0,0,0,0,0,0,29460,69,30,39,197,80,117,676,328,348,25141,10875,14266,48,23,25,2276,1030,1246,35,14,21,470,199,271
Episcopal Theological Seminary of the Southwest,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Exposito School of Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,0,0,0,0,0,1,0,1,11,0,11,0,0,0,25,0,25,0,0,0,0,0,0
Florida Career College-Houston Campus,,,,,,,,,,,,,,,,,,,,,,,,,,557,1,0,1,3,1,2,337,133,204,120,56,64,1,0,1,35,18,17,11,5,6,49,25,24
Fort Worth Beauty School,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0,0,1,0,1,2,1,1,10,0,10,0,0,0,45,3,42,0,0,0,0,0,0
Fortis College,,,,,,,,,,,,,,,,,,,,,,,,,,280,2,2,0,7,3,4,72,21,51,51,18,33,0,0,0,9,2,7,0,0,0,138,45,93
Fortis College-Grand Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,154,0,0,0,4,3,1,63,9,54,51,0,51,0,0,0,24,7,17,3,2,1,1,0,1
Fortis Institute,,,,,,,,,,,,,,,,,,,,,,,,,,456,6,2,4,5,2,3,216,71,145,180,51,129,0,0,0,39,16,23,4,2,2,6,4,2
Frank Phillips College,,,,,,,,,,,,,,,,,,,,,,,,,,1556,22,11,11,4,2,2,55,33,22,561,232,329,0,0,0,857,353,504,0,0,0,35,19,16
GA Beauty & Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galen College of Nursing-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,1204,1,0,1,49,11,38,142,26,116,448,77,371,5,0,5,404,59,345,80,9,71,75,16,59
Galveston College,23,1,1,0,1,1,0,3,1,2,3,1,2,0,0,0,15,8,7,0,0,0,0,0,0,2201,8,3,5,48,25,23,314,121,193,822,336,486,4,2,2,926,389,537,10,7,3,46,24,22
Gemini School of Visual Arts & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0,0,0,0,0,4,2,2,3,2,1,0,0,0,14,4,10,0,0,0,0,0,0
Grace School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,0,0,1,1,0,19,11,8,7,6,1,0,0,0,32,27,5,1,1,0,4,4,0
Grayson College,,,,,,,,,,,,,,,,,,,,,,,,,,4600,183,78,105,46,12,34,309,126,183,540,207,333,2,1,1,2772,1085,1687,0,0,0,727,320,407
Guidance College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallmark University,,,,,,,,,,,,,,,,,,,,,,,,,,913,27,11,16,18,10,8,118,84,34,436,288,148,10,7,3,254,181,73,40,22,18,9,7,2
Hands on Therapy,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,0,0,0,0,0,12,4,8,12,3,9,0,0,0,26,3,23,1,1,0,2,1,1
Hardin-Simmons University,102,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,100,63,37,0,0,0,0,0,0,1708,4,2,2,19,9,10,118,75,43,293,121,172,3,1,2,1127,471,656,69,37,32,42,27,15
Hill College,,,,,,,,,,,,,,,,,,,,,,,,,,4075,24,13,11,29,13,16,218,91,127,920,385,535,12,4,8,2682,1057,1625,109,45,64,34,15,19
Houston Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,2332,8,4,4,235,92,143,423,154,269,764,264,500,6,2,4,610,243,367,90,32,58,115,44,71
Houston Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Community College,,,,,,,,,,,,,,,,,,,,,,,,,,57032,91,43,48,5566,2694,2872,16127,5794,10333,19050,8069,10981,105,48,57,7714,3737,3977,893,368,525,995,450,545
Houston Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston International College Cardiotech Ultrasound School,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,0,0,20,4,16,22,9,13,15,3,12,0,0,0,12,0,12,0,0,0,0,0,0
Houston School of Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Training School-Gulfgate,,,,,,,,,,,,,,,,,,,,,,,,,,129,0,0,0,0,0,0,34,1,33,95,1,94,0,0,0,0,0,0,0,0,0,0,0,0
Houston Training School-Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,97,0,0,0,0,0,0,22,0,22,74,3,71,0,0,0,1,0,1,0,0,0,0,0,0
Houston Training Schools-Gessner,,,,,,,,,,,,,,,,,,,,,,,,,,104,0,0,0,6,2,4,26,1,25,71,4,67,0,0,0,1,0,1,0,0,0,0,0,0
Howard College,,,,,,,,,,,,,,,,,,,,,,,,,,4448,28,17,11,37,19,18,139,73,66,2103,798,1305,7,2,5,2007,838,1169,85,31,54,19,12,7
Howard Payne University,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1098,7,3,4,6,3,3,104,77,27,221,111,110,4,3,1,629,303,326,0,0,0,127,80,47
Huston-Tillotson University,11,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,965,2,0,2,3,0,3,625,258,367,249,101,148,0,0,0,46,25,21,2,0,2,7,2,5
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,0,0,6,3,3,12,4,8,17,8,9,11,7,4,1,0,1,0,0,0,0,0,0
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,0,0,0,0,0,0,0,0,25,7,18,0,0,0,2,0,2,0,0,0,0,0,0
Interactive College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,0,0,0,0,0,16,7,9,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0
International Beauty College,,,,,,,,,,,,,,,,,,,,,,,,,,84,0,0,0,42,14,28,20,0,20,12,1,11,0,0,0,10,0,10,0,0,0,0,0,0
International Business College-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,0,0,0,0,0,3,2,1,36,14,22,0,0,0,3,2,1,0,0,0,0,0,0
International Business College-El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,0,0,0,0,0,2,1,1,74,25,49,0,0,0,3,1,2,0,0,0,0,0,0
Jacksonville College-Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,559,1,0,1,1,0,1,77,29,48,223,105,118,0,0,0,216,86,130,14,6,8,9,5,4
Jarvis Christian College,7,0,0,0,2,2,0,2,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,868,3,3,0,2,1,1,710,332,378,85,52,33,1,0,1,40,26,14,0,0,0,18,8,10
Jay's Technical Institute,,,,,,,,,,,,,,,,,,,,,,,,,,218,0,0,0,0,0,0,199,124,75,17,13,4,0,0,0,2,2,0,0,0,0,0,0,0
K & G 5 Star Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0,0,0,0,0,21,18,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
KD Conservatory College of Film and Dramatic Arts,,,,,,,,,,,,,,,,,,,,,,,,,,117,0,0,0,4,2,2,39,23,16,21,11,10,2,1,1,34,19,15,9,5,4,8,4,4
Kilgore College,,,,,,,,,,,,,,,,,,,,,,,,,,5915,28,13,15,70,34,36,1284,536,748,1076,465,611,1,1,0,3072,1325,1747,202,90,112,83,38,45
